"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"CA083252,B,1,Tooling Trolley","Tooling Trolley","Tooling Requirements Review (TRR)","B","Component Approval Document","Rejected"," ","NO","12/08/2020 10:13:49:754","WIP"
"SRC003327,A,4,Software E19590 Pad Printer with Vision System Maximo ID ES3230","Software E19590 Pad Printer with Vision System Maximo ID ES3230","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:47:807","WIP"
"SRC003328,A,4,Software E19590 Pad Printer with Vision System Maximo ID ES3257","Software E19590 Pad Printer with Vision System Maximo ID ES3257","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:47:463","WIP"
"SRC003351,A,1,Software for E19586 Heat shrink Tubing Cutter 2 software validation Maximo ID ES3226","Software for E19586 Heat shrink Tubing Cutter 2 software validation Maximo ID ES3226","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:47:104","WIP"
"SRC003357,A,2,Source Code for Megadyne L174 Automated Label Applier E20172","Source Code for Megadyne L174 Automated Label Applier E20172","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:46:745","WIP"
"SRC003370,A,2,Source Code for Megadyne L173 Pre-Heat Oven E19578","Source Code for Megadyne L173 Pre-Heat Oven E19578","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:46:385","WIP"
"SRC003376,A,3,Software for E19582 Curing Oven software validation Máximo ID ES3222","Software for E19582 Curing Oven software validation Máximo ID ES3222","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:46:010","WIP"
"SRC003400,A,3,SRC for E19575 Automated Sand Blaster ID ES3215","SRC for E19575 Automated Sand Blaster ID ES3215","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:09:45:651","WIP"
"SRC003331,A,3,Software for E19594 Smart conveyor with scale system","Software for E19594 Smart conveyor with scale system","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:05:10:947","WIP"
"SRC003332,A,2,Software for E20132 Pack Out Equipment with Scale System","Software for E20132 Pack Out Equipment with Scale System","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:05:10:588","WIP"
"SRC003333,A,1,Software for E19587 Heat shrink oven software validation Maximo ID ES3227","Software for E19587 Heat shrink oven software validation Maximo ID ES3227","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:05:10:213","WIP"
"SRC003334,A,1,Software for Tubing Cutter 1 E19585 Maximo ID ES3225","Software for Tubing Cutter 1 E19585 Maximo ID ES3225","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:05:09:822","WIP"
"SRC003369,A,1,Software for E19584 Coating Burn-Off Oven software validation Maximo ID ES3224","Software for E19584 Coating Burn-Off Oven software validation Maximo ID ES3224","Equipment Software","A","Software (Source Code)","Working"," ","NO","12/07/2020 09:05:09:432","WIP"
"TRP001919,A,1,Sandblasting","Sandblasting","None","A","Assembly Operation","Working"," ","NO","12/07/2020 09:02:51:166","WIP"
"TRP001920,A,1,Painting","Painting","None","A","Assembly Operation","Working"," ","NO","12/07/2020 09:02:50:806","WIP"
"TRP001921,A,1,Electrode unloading and inspection in the paint area","Electrode unloading and inspection in the paint area","None","A","Assembly Operation","Working"," ","NO","12/07/2020 09:01:04:134","WIP"
"TRP001922,A,1,Electrode loading in paint area","Electrode loading in paint area","None","A","Assembly Operation","Working"," ","NO","12/07/2020 09:01:03:697","WIP"
