"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SCN077015,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-023)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-023)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","09/18/2020 13:04:22:989","Release"
"SPE003917,D,2,1400JJ Megadyne Product Master Data Specification","1400JJ Megadyne Product Master Data Specification","Product Master Data Specification","D","Specification","Released"," ","NO","09/17/2020 13:28:10:147","Release"
"SPE003917,A,2,1400JJ Megadyne Product Master Data Specification","1400JJ Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","09/17/2020 13:28:08:960","Release"
"SPE003917,B,2,1400JJ Megadyne Product Master Data Specification","1400JJ Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","09/17/2020 13:28:08:553","Release"
"SPE003917,C,3,1400JJ Megadyne Product Master Data Specification","1400JJ Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","09/17/2020 13:28:08:178","Release"
"DR000864,A,4,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","In Review"," ","NO","09/16/2020 14:18:28:109","WIP"
"SCN070740,A,2,Megadyne Class 1 Accessories Devices CER","Megadyne Class 1 Accessories Devices CER","CER (Clinical Expert Report)","A","Scanned (Hardcopy) Item","Released"," ","NO","12/19/2019 17:56:24:518","Release"
"SCN061981,B,2,Megadyne 1400JJ and 1450J Footswitch Serial Number Controlled Update","Megadyne 1400JJ and 1450J Footswitch Serial Number Controlled Update","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","01/15/2019 09:50:43:188","Release"
"SCN061981,A,3,Megadyne 1400JJ and 1450J Footswitch Serial Number Controlled Update","Megadyne 1400JJ and 1450J Footswitch Serial Number Controlled Update","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","01/15/2019 09:50:42:391","Release"
"DR000638,A,3,Megadyne 1400JJ and 1450J Footswitch Serial Number Controlled Update","Megadyne 1400JJ and 1450J Footswitch Serial Number Controlled Update","PCO","A","Design Requirement","Released"," ","NO","01/04/2019 10:53:11:202","Release"





